Name: “Table 1 of 1 on page 131 of 138”,Name: “Table 1 of 1 on page 131 of 138”,Name: “Table 1 of 1 on page 131 of 138”,Name: “Table 1 of 1 on page 131 of 138”,Name: “Table 1 of 1 on page 131 of 138”,Name: “Table 1 of 1 on page 131 of 138”,Name: “Table 1 of 1 on page 131 of 138”,Name: “Table 1 of 1 on page 131 of 138”,Name: “Table 1 of 1 on page 131 of 138”,Name: “Table 1 of 1 on page 131 of 138”,Name: “Table 1 of 1 on page 131 of 138”,Name: “Table 1 of 1 on page 131 of 138”
Table: 131,Table: 131,Table: 131,Table: 131,Table: 131,Table: 131,Table: 131,Table: 131,Table: 131,Table: 131,Table: 131,Table: 131
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,126,126,
,Williamsburg,,,,,,,,,,
,,1Source,Year 1970,Year 1980,Year 1990,Year 2000,Year 2010,,,,
Time Leaving Home to Go to Work,Time Leaving Home to Go to Work,,,,,,,,,,
Workers 16+ (Did Not Work at Home),Workers 16+ (Did Not Work at Home),,,,,,,,,,
,5:00 a.m. to 5:59 a.m.,Sample,n.a.,n.a.,169,155,n.a.,,,,
,6:00 a.m. to 6:59 a.m.,Sample,n.a.,n.a.,412,460,n.a.,,,,
,7:00 a.m. to 7:59 a.m.,Sample,n.a.,n.a.,863,895,n.a.,,,,
,8:00 a.m. to 8:59 a.m.,Sample,n.a.,n.a.,"1,048","1,020",n.a.,,,,
,9:00 a.m. to 9:59 a.m.,Sample,n.a.,n.a.,365,510,n.a.,,,,
,Other Times,Sample,n.a.,n.a.,"1,796","1,025",n.a.,,,,
,,,n.a.,n.a.,"4,653","4,065",n.a.,,,,
Time Leaving Home to Go to Work,Time Leaving Home to Go to Work,,,,,,,,,,
5:00 a.m. to 5:59 a.m.,5:00 a.m. to 5:59 a.m.,Sample,n.a.,n.a.,4%,4%,n.a.,,,,
6:00 a.m. to 6:59 a.m.,6:00 a.m. to 6:59 a.m.,Sample,n.a.,n.a.,9%,11%,n.a.,,,,
7:00 a.m. to 7:59 a.m.,7:00 a.m. to 7:59 a.m.,Sample,n.a.,n.a.,19%,22%,n.a.,,,,
8:00 a.m. to 8:59 a.m.,8:00 a.m. to 8:59 a.m.,Sample,n.a.,n.a.,23%,25%,n.a.,,,,
9:00 a.m. to 9:59 a.m.,9:00 a.m. to 9:59 a.m.,Sample,n.a.,n.a.,8%,13%,n.a.,,,,
Other Hours,,Sample,n.a.,n.a.,39%,25%,n.a.,,,,
,,,n.a.,n.a.,100%,100%,n.a.,,,,
Place of Work,,,,,,,,,,,
Workers 16 Years and Over,Workers 16 Years and Over,,,,,,,,,,
,Work In County of Residence,Sample,n.a.,n.a.,"3,770","2,212",n.a.,,In  light  of  the  volatility  of,In  light  of  the  volatility  of,In  light  of  the  volatility  of
,Work Outside County of Residence,Sample,n.a.,n.a.,"1,124","2,027",n.a.,,these,work,location
,,,n.a.,n.a.,"4,894","4,239",n.a.,,"numbers,  note  that  some","numbers,  note  that  some","numbers,  note  that  some"
,,,,,,,,,employers  in  James  City,employers  in  James  City,employers  in  James  City
"Work In County of Residence, %","Work In County of Residence, %",Sample,n.a.,n.a.,77%,52%,n.a.,,,,
,,,,,,,,,use,“Williamsburg”,as
"Work Outside County of Residence, %","Work Outside County of Residence, %",Sample,n.a.,n.a.,23%,48%,n.a.,,,,
,,,,,,,,,their address.,their address.,
,,,n.a.,n.a.,100%,100%,n.a.,,,,
Footnotes,,,,,,,,,,,
1Source:,,,,,,,,,,,
Full: Based on entire population and every housing unit.,Full: Based on entire population and every housing unit.,Full: Based on entire population and every housing unit.,,,,,,,,,
"Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).","Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).","Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).","Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).","Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).","Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).","Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).","Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).",,,,
"Mixed: Based on a sample (1970, 1980) and based on full enumeration (1990, 2000, 2010).","Mixed: Based on a sample (1970, 1980) and based on full enumeration (1990, 2000, 2010).","Mixed: Based on a sample (1970, 1980) and based on full enumeration (1990, 2000, 2010).","Mixed: Based on a sample (1970, 1980) and based on full enumeration (1990, 2000, 2010).","Mixed: Based on a sample (1970, 1980) and based on full enumeration (1990, 2000, 2010).","Mixed: Based on a sample (1970, 1980) and based on full enumeration (1990, 2000, 2010).",,,,,,
2Total:,,,,,,,,,,,
"For the decades with sample data (1970, 1980), these totals differ slightly from ""In Group Quarters"" above.","For the decades with sample data (1970, 1980), these totals differ slightly from ""In Group Quarters"" above.","For the decades with sample data (1970, 1980), these totals differ slightly from ""In Group Quarters"" above.","For the decades with sample data (1970, 1980), these totals differ slightly from ""In Group Quarters"" above.","For the decades with sample data (1970, 1980), these totals differ slightly from ""In Group Quarters"" above.","For the decades with sample data (1970, 1980), these totals differ slightly from ""In Group Quarters"" above.","For the decades with sample data (1970, 1980), these totals differ slightly from ""In Group Quarters"" above.",,,,,
,,,,,,,,,,,
HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,,,,,,,,
