Name: “Table 1 of 1 on page 54 of 80”,Name: “Table 1 of 1 on page 54 of 80”,Name: “Table 1 of 1 on page 54 of 80”,Name: “Table 1 of 1 on page 54 of 80”,Name: “Table 1 of 1 on page 54 of 80”,Name: “Table 1 of 1 on page 54 of 80”,Name: “Table 1 of 1 on page 54 of 80”,Name: “Table 1 of 1 on page 54 of 80”,Name: “Table 1 of 1 on page 54 of 80”,Name: “Table 1 of 1 on page 54 of 80”,Name: “Table 1 of 1 on page 54 of 80”,Name: “Table 1 of 1 on page 54 of 80”,Name: “Table 1 of 1 on page 54 of 80”,Name: “Table 1 of 1 on page 54 of 80”,Name: “Table 1 of 1 on page 54 of 80”
Table: 52,Table: 52,Table: 52,Table: 52,Table: 52,Table: 52,Table: 52,Table: 52,Table: 52,Table: 52,Table: 52,Table: 52,Table: 52,Table: 52,Table: 52
,,,,,,,,,,,,,,
,,,,,,,TA B 2 :,P ROJ E CT CHA RA CT ERI S TI CS,P ROJ E CT CHA RA CT ERI S TI CS,P ROJ E CT CHA RA CT ERI S TI CS,P ROJ E CT CHA RA CT ERI S TI CS,P ROJ E CT CHA RA CT ERI S TI CS,P ROJ E CT CHA RA CT ERI S TI CS,
,,,,,,,,,,,,2 . c,Pe r m it s,
"Include a list of all federal, state and local permits and approvals required for the project and a","Include a list of all federal, state and local permits and approvals required for the project and a","Include a list of all federal, state and local permits and approvals required for the project and a","Include a list of all federal, state and local permits and approvals required for the project and a","Include a list of all federal, state and local permits and approvals required for the project and a","Include a list of all federal, state and local permits and approvals required for the project and a","Include a list of all federal, state and local permits and approvals required for the project and a","Include a list of all federal, state and local permits and approvals required for the project and a","Include a list of all federal, state and local permits and approvals required for the project and a","Include a list of all federal, state and local permits and approvals required for the project and a","Include a list of all federal, state and local permits and approvals required for the project and a","Include a list of all federal, state and local permits and approvals required for the project and a","Include a list of all federal, state and local permits and approvals required for the project and a","Include a list of all federal, state and local permits and approvals required for the project and a",
schedule for obtaining such permits and approvals.,schedule for obtaining such permits and approvals.,schedule for obtaining such permits and approvals.,schedule for obtaining such permits and approvals.,schedule for obtaining such permits and approvals.,schedule for obtaining such permits and approvals.,schedule for obtaining such permits and approvals.,schedule for obtaining such permits and approvals.,,,,,,,
Federal,and,Commonwealth,Commonwealth,laws,and,regulations,regulations,require,that,various,environmental,environmental,permits,or
approvals be acquired prior to the start of construction activities:,approvals be acquired prior to the start of construction activities:,approvals be acquired prior to the start of construction activities:,approvals be acquired prior to the start of construction activities:,approvals be acquired prior to the start of construction activities:,approvals be acquired prior to the start of construction activities:,approvals be acquired prior to the start of construction activities:,approvals be acquired prior to the start of construction activities:,approvals be acquired prior to the start of construction activities:,approvals be acquired prior to the start of construction activities:,,,,,
,"Compliance with Executive Order 11990, Protection of Wetlands, and Section 404 Permits, Clean","Compliance with Executive Order 11990, Protection of Wetlands, and Section 404 Permits, Clean","Compliance with Executive Order 11990, Protection of Wetlands, and Section 404 Permits, Clean","Compliance with Executive Order 11990, Protection of Wetlands, and Section 404 Permits, Clean","Compliance with Executive Order 11990, Protection of Wetlands, and Section 404 Permits, Clean","Compliance with Executive Order 11990, Protection of Wetlands, and Section 404 Permits, Clean","Compliance with Executive Order 11990, Protection of Wetlands, and Section 404 Permits, Clean","Compliance with Executive Order 11990, Protection of Wetlands, and Section 404 Permits, Clean","Compliance with Executive Order 11990, Protection of Wetlands, and Section 404 Permits, Clean","Compliance with Executive Order 11990, Protection of Wetlands, and Section 404 Permits, Clean","Compliance with Executive Order 11990, Protection of Wetlands, and Section 404 Permits, Clean","Compliance with Executive Order 11990, Protection of Wetlands, and Section 404 Permits, Clean","Compliance with Executive Order 11990, Protection of Wetlands, and Section 404 Permits, Clean",
,"Water Act, from the U.S. Army Corps of Engineers","Water Act, from the U.S. Army Corps of Engineers","Water Act, from the U.S. Army Corps of Engineers","Water Act, from the U.S. Army Corps of Engineers","Water Act, from the U.S. Army Corps of Engineers","Water Act, from the U.S. Army Corps of Engineers","Water Act, from the U.S. Army Corps of Engineers",,,,,,,
,"Section 10 Permit, Rivers and Harbors Act, from the U.S. Army Corps of Engineers","Section 10 Permit, Rivers and Harbors Act, from the U.S. Army Corps of Engineers","Section 10 Permit, Rivers and Harbors Act, from the U.S. Army Corps of Engineers","Section 10 Permit, Rivers and Harbors Act, from the U.S. Army Corps of Engineers","Section 10 Permit, Rivers and Harbors Act, from the U.S. Army Corps of Engineers","Section 10 Permit, Rivers and Harbors Act, from the U.S. Army Corps of Engineers","Section 10 Permit, Rivers and Harbors Act, from the U.S. Army Corps of Engineers","Section 10 Permit, Rivers and Harbors Act, from the U.S. Army Corps of Engineers","Section 10 Permit, Rivers and Harbors Act, from the U.S. Army Corps of Engineers","Section 10 Permit, Rivers and Harbors Act, from the U.S. Army Corps of Engineers","Section 10 Permit, Rivers and Harbors Act, from the U.S. Army Corps of Engineers",,,
,Virginia,Water,Protection,Permit,Permit,from,the,Commonwealth,Commonwealth,of,"Virginia,",Department,Department,of
,Environmental Quality,Environmental Quality,Environmental Quality,,,,,,,,,,,
,"Subaqueous Bed Permit, Virginia Water Law, from the Virginia Marine Resources Commission","Subaqueous Bed Permit, Virginia Water Law, from the Virginia Marine Resources Commission","Subaqueous Bed Permit, Virginia Water Law, from the Virginia Marine Resources Commission","Subaqueous Bed Permit, Virginia Water Law, from the Virginia Marine Resources Commission","Subaqueous Bed Permit, Virginia Water Law, from the Virginia Marine Resources Commission","Subaqueous Bed Permit, Virginia Water Law, from the Virginia Marine Resources Commission","Subaqueous Bed Permit, Virginia Water Law, from the Virginia Marine Resources Commission","Subaqueous Bed Permit, Virginia Water Law, from the Virginia Marine Resources Commission","Subaqueous Bed Permit, Virginia Water Law, from the Virginia Marine Resources Commission","Subaqueous Bed Permit, Virginia Water Law, from the Virginia Marine Resources Commission","Subaqueous Bed Permit, Virginia Water Law, from the Virginia Marine Resources Commission","Subaqueous Bed Permit, Virginia Water Law, from the Virginia Marine Resources Commission","Subaqueous Bed Permit, Virginia Water Law, from the Virginia Marine Resources Commission",
,U.S. Coast Guard Permit,U.S. Coast Guard Permit,U.S. Coast Guard Permit,,,,,,,,,,,
,Compliance with the Endangered Species Act (ESA),Compliance with the Endangered Species Act (ESA),Compliance with the Endangered Species Act (ESA),Compliance with the Endangered Species Act (ESA),Compliance with the Endangered Species Act (ESA),Compliance with the Endangered Species Act (ESA),Compliance with the Endangered Species Act (ESA),,,,,,,
,Compliance with Section 106 of the Natural Historic Preservation Act,Compliance with Section 106 of the Natural Historic Preservation Act,Compliance with Section 106 of the Natural Historic Preservation Act,Compliance with Section 106 of the Natural Historic Preservation Act,Compliance with Section 106 of the Natural Historic Preservation Act,Compliance with Section 106 of the Natural Historic Preservation Act,Compliance with Section 106 of the Natural Historic Preservation Act,Compliance with Section 106 of the Natural Historic Preservation Act,Compliance with Section 106 of the Natural Historic Preservation Act,Compliance with Section 106 of the Natural Historic Preservation Act,,,,
